,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),GM per Emp,Sales Order per Emp,Sales Order Items per Emp,Sales Order Delivery per Emp,Non-Sales Order Delivery per Emp,Delivery Lines per Emp,Deliver Docs per Emp,RSO per Emp,Sales per Emp,High Sales Weight,Equal Sales and GM Weight,Equal Weights
ALPA201901,11,New York,ALPA,Albany,201901,P,Q,R,Q,Q,Q,Q,Q,P,A,A,B
ALPA201902,11,New York,ALPA,Albany,201902,P,Q,R,Q,Q,Q,Q,Q,P,A,A,B
ALPA201903,11,New York,ALPA,Albany,201903,P,Q,R,Q,P,Q,Q,Q,Q,B,A,B
HAPA201701,11,New York,HAPA,Harrisburg,201701,Q,Q,Q,Q,Q,Q,Q,R,Q,B,B,B
HAPA201702,11,New York,HAPA,Harrisburg,201702,Q,Q,R,R,R,R,Q,R,R,C,C,C
HAPA201703,11,New York,HAPA,Harrisburg,201703,Q,R,R,R,R,R,R,Q,R,C,C,C
HAPA201704,11,New York,HAPA,Harrisburg,201704,R,R,R,R,R,R,R,Q,R,C,C,C
HAPA201705,11,New York,HAPA,Harrisburg,201705,R,R,R,Q,R,R,Q,Q,R,C,C,C
HAPA201706,11,New York,HAPA,Harrisburg,201706,R,R,R,R,R,R,R,Q,R,C,C,C
HAPA201707,11,New York,HAPA,Harrisburg,201707,R,R,R,R,R,R,R,Q,R,C,C,C
HAPA201708,11,New York,HAPA,Harrisburg,201708,R,R,R,R,R,R,R,Q,R,C,C,C
HAPA201709,11,New York,HAPA,Harrisburg,201709,Q,R,R,R,R,R,Q,Q,R,C,C,C
HAPA201710,11,New York,HAPA,Harrisburg,201710,R,R,R,R,R,R,R,Q,R,C,C,C
HAPA201711,11,New York,HAPA,Harrisburg,201711,R,R,R,R,R,R,R,Q,Q,C,C,C
HAPA201712,11,New York,HAPA,Harrisburg,201712,R,R,R,R,R,R,R,Q,R,C,C,C
HAPA201801,11,New York,HAPA,Harrisburg,201801,Q,R,R,R,S,R,R,Q,R,C,C,C
HAPA201802,11,New York,HAPA,Harrisburg,201802,R,R,R,R,R,R,R,Q,R,C,C,C
HAPA201803,11,New York,HAPA,Harrisburg,201803,R,R,R,R,S,R,R,Q,R,C,C,C
HAPA201804,11,New York,HAPA,Harrisburg,201804,R,R,R,Q,R,R,Q,Q,R,C,C,C
HAPA201805,11,New York,HAPA,Harrisburg,201805,R,R,R,R,R,R,Q,R,R,C,C,C
HAPA201806,11,New York,HAPA,Harrisburg,201806,R,R,R,Q,R,R,R,Q,R,C,C,C
HAPA201807,11,New York,HAPA,Harrisburg,201807,Q,R,R,R,R,R,R,R,Q,B,C,C
HAPA201808,11,New York,HAPA,Harrisburg,201808,Q,Q,R,Q,R,Q,Q,R,Q,B,B,B
HAPA201809,11,New York,HAPA,Harrisburg,201809,Q,Q,Q,Q,Q,Q,Q,Q,Q,B,B,B
HAPA201810,11,New York,HAPA,Harrisburg,201810,R,R,R,R,R,R,Q,Q,R,C,C,C
HAPA201811,11,New York,HAPA,Harrisburg,201811,Q,R,R,Q,R,Q,Q,Q,Q,B,B,B
HAPA201812,11,New York,HAPA,Harrisburg,201812,Q,R,R,Q,R,Q,Q,Q,Q,B,B,B
HAPA201901,11,New York,HAPA,Harrisburg,201901,Q,R,R,Q,R,Q,R,Q,Q,B,B,B
HAPA201902,11,New York,HAPA,Harrisburg,201902,R,R,R,R,R,R,R,Q,R,C,C,C
HAPA201903,11,New York,HAPA,Harrisburg,201903,Q,Q,R,Q,R,Q,Q,Q,Q,B,B,B
HVNY201701,11,New York,HVNY,Hudson Valley,201701,,,,,,,,,,,,
HVNY201702,11,New York,HVNY,Hudson Valley,201702,,,,,,,,,,,,
HVNY201703,11,New York,HVNY,Hudson Valley,201703,,,,,,,,,,,,
HVNY201704,11,New York,HVNY,Hudson Valley,201704,,,,,,,,,,,,
HVNY201705,11,New York,HVNY,Hudson Valley,201705,,,,,,,,,,,,
HVNY201706,11,New York,HVNY,Hudson Valley,201706,,,,,,,,,,,,
HVNY201707,11,New York,HVNY,Hudson Valley,201707,,,,,,,,,,,,
HVNY201708,11,New York,HVNY,Hudson Valley,201708,,,,,,,,,,,,
HVNY201709,11,New York,HVNY,Hudson Valley,201709,,,,,,,,,,,,
HVNY201710,11,New York,HVNY,Hudson Valley,201710,,,,,,,,,,,,
HVNY201711,11,New York,HVNY,Hudson Valley,201711,,,,,,,,,,,,
HVNY201712,11,New York,HVNY,Hudson Valley,201712,,,,,,,,,,,,
HVNY201801,11,New York,HVNY,Hudson Valley,201801,,,,,,,,,,,,
HVNY201802,11,New York,HVNY,Hudson Valley,201802,,,,,,,,,,,,
HVNY201803,11,New York,HVNY,Hudson Valley,201803,,,,,,,,,,,,
HVNY201804,11,New York,HVNY,Hudson Valley,201804,,,,,,,,,,,,
HVNY201805,11,New York,HVNY,Hudson Valley,201805,,,,,,,,,,,,
HVNY201806,11,New York,HVNY,Hudson Valley,201806,,,,,,,,,,,,
HVNY201807,11,New York,HVNY,Hudson Valley,201807,,,,,,,,,,,,
HVNY201808,11,New York,HVNY,Hudson Valley,201808,,,,,,,,,,,,
HVNY201809,11,New York,HVNY,Hudson Valley,201809,,,,,,,,,,,,
HVNY201810,11,New York,HVNY,Hudson Valley,201810,,,,,,,,,,,,
HVNY201811,11,New York,HVNY,Hudson Valley,201811,,,,,,,,,,,,
HVNY201812,11,New York,HVNY,Hudson Valley,201812,,,,,,,,,,,,
HVNY201901,11,New York,HVNY,Hudson Valley,201901,,,,,,,,,,,,
HVNY201902,11,New York,HVNY,Hudson Valley,201902,,,,,,,,,,,,
HVNY201903,11,New York,HVNY,Hudson Valley,201903,,,,,,,,,,,,
NCDE201701,11,New York,NCDE,New Castle,201701,R,R,R,R,Q,R,R,Q,R,C,C,C
NCDE201702,11,New York,NCDE,New Castle,201702,R,R,R,R,Q,R,R,Q,R,C,C,C
NCDE201703,11,New York,NCDE,New Castle,201703,R,R,R,R,R,R,R,Q,R,C,C,C
NCDE201704,11,New York,NCDE,New Castle,201704,R,R,R,R,R,R,R,Q,R,C,C,C
NCDE201705,11,New York,NCDE,New Castle,201705,R,R,R,R,R,R,R,Q,R,C,C,C
NCDE201706,11,New York,NCDE,New Castle,201706,S,R,R,R,R,R,R,Q,S,D,D,D
NCDE201707,11,New York,NCDE,New Castle,201707,R,R,R,R,Q,R,R,Q,R,C,C,C
NCDE201708,11,New York,NCDE,New Castle,201708,R,Q,R,R,R,R,R,Q,R,C,C,C
NCDE201709,11,New York,NCDE,New Castle,201709,R,Q,Q,R,Q,R,R,R,R,C,C,C
NCDE201710,11,New York,NCDE,New Castle,201710,R,R,R,R,R,R,R,Q,R,C,C,C
NCDE201711,11,New York,NCDE,New Castle,201711,R,R,R,R,R,R,R,Q,R,C,C,C
NCDE201712,11,New York,NCDE,New Castle,201712,R,R,R,R,R,R,R,Q,R,C,C,C
NCDE201801,11,New York,NCDE,New Castle,201801,R,R,R,R,R,R,R,Q,R,C,C,C
NCDE201802,11,New York,NCDE,New Castle,201802,R,R,R,R,Q,R,R,Q,R,C,C,C
NCDE201803,11,New York,NCDE,New Castle,201803,R,R,R,R,R,R,R,Q,R,C,C,C
NCDE201804,11,New York,NCDE,New Castle,201804,R,Q,R,R,Q,R,R,Q,R,C,C,C
NCDE201805,11,New York,NCDE,New Castle,201805,Q,R,R,R,R,R,R,Q,R,C,C,C
NCDE201806,11,New York,NCDE,New Castle,201806,Q,Q,R,R,P,R,R,Q,R,C,B,C
NCDE201807,11,New York,NCDE,New Castle,201807,R,R,R,R,R,R,R,Q,R,C,C,C
NCDE201808,11,New York,NCDE,New Castle,201808,R,R,R,R,Q,R,R,Q,R,C,C,C
NCDE201809,11,New York,NCDE,New Castle,201809,R,R,R,R,Q,R,R,Q,S,C,C,C
NCDE201810,11,New York,NCDE,New Castle,201810,Q,R,R,R,Q,R,R,Q,R,C,C,C
NCDE201811,11,New York,NCDE,New Castle,201811,R,R,R,R,R,R,R,Q,R,C,C,C
NCDE201812,11,New York,NCDE,New Castle,201812,R,R,R,R,R,R,R,Q,R,C,C,C
NCDE201901,11,New York,NCDE,New Castle,201901,Q,R,R,R,R,R,R,Q,Q,B,B,C
NCDE201902,11,New York,NCDE,New Castle,201902,R,R,R,R,R,R,R,Q,R,C,C,C
NCDE201903,11,New York,NCDE,New Castle,201903,Q,Q,Q,Q,P,Q,Q,R,Q,B,B,B
PHPA201701,11,New York,PHPA,Philadelphia,201701,R,R,R,R,R,R,R,Q,Q,C,C,C
PHPA201702,11,New York,PHPA,Philadelphia,201702,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201703,11,New York,PHPA,Philadelphia,201703,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201704,11,New York,PHPA,Philadelphia,201704,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201705,11,New York,PHPA,Philadelphia,201705,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201706,11,New York,PHPA,Philadelphia,201706,Q,R,R,R,R,R,R,Q,P,B,B,C
PHPA201707,11,New York,PHPA,Philadelphia,201707,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201708,11,New York,PHPA,Philadelphia,201708,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201709,11,New York,PHPA,Philadelphia,201709,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201710,11,New York,PHPA,Philadelphia,201710,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201711,11,New York,PHPA,Philadelphia,201711,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201712,11,New York,PHPA,Philadelphia,201712,R,R,R,R,R,R,R,Q,R,C,C,C
PHPA201801,11,New York,PHPA,Philadelphia,201801,R,R,R,R,R,R,R,Q,R,C,C,C
PHPA201802,11,New York,PHPA,Philadelphia,201802,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201803,11,New York,PHPA,Philadelphia,201803,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201804,11,New York,PHPA,Philadelphia,201804,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201805,11,New York,PHPA,Philadelphia,201805,P,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201806,11,New York,PHPA,Philadelphia,201806,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201807,11,New York,PHPA,Philadelphia,201807,P,R,R,R,R,R,R,Q,P,B,B,B
PHPA201808,11,New York,PHPA,Philadelphia,201808,P,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201809,11,New York,PHPA,Philadelphia,201809,P,R,R,R,R,R,R,Q,P,B,B,B
PHPA201810,11,New York,PHPA,Philadelphia,201810,Q,R,R,R,R,R,R,Q,P,B,B,C
PHPA201811,11,New York,PHPA,Philadelphia,201811,Q,R,R,R,Q,R,R,Q,Q,B,B,C
PHPA201812,11,New York,PHPA,Philadelphia,201812,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201901,11,New York,PHPA,Philadelphia,201901,Q,R,R,R,R,R,R,Q,Q,B,B,C
PHPA201902,11,New York,PHPA,Philadelphia,201902,R,R,R,R,R,R,R,Q,Q,C,C,C
PHPA201903,11,New York,PHPA,Philadelphia,201903,R,R,R,R,R,R,R,Q,Q,C,C,C
TENJ201701,11,New York,TENJ,Teterboro,201701,,,,,,,,,,,,
TENJ201702,11,New York,TENJ,Teterboro,201702,,,,,,,,,,,,
TENJ201703,11,New York,TENJ,Teterboro,201703,,,,,,,,,,,,
TENJ201704,11,New York,TENJ,Teterboro,201704,,,,,,,,,,,,
