,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),Number of Delivery Lines (SO),Sales $ per branch,GM $ per branch,RSO by plant,GMR,Sales Order - RSO
ALNY201701,11,New York,ALNY,Allentown,201701,2622,1432300.3,231768.68,35,0.16181570303378418,2290.0
ALNY201702,11,New York,ALNY,Allentown,201702,2381,2123857.36,401640.7,44,0.18910907463201768,1924.0
ALNY201703,11,New York,ALNY,Allentown,201703,2891,2060384.41,423007.74,55,0.20530525175154088,2284.0
ALNY201704,11,New York,ALNY,Allentown,201704,2004,2143953.03,326895.4,37,0.15247320973258452,2007.0
ALNY201705,11,New York,ALNY,Allentown,201705,2860,2125031.91,386417.55,65,0.18184082233381613,2446.0
ALNY201706,11,New York,ALNY,Allentown,201706,3068,2571441.1,496536.31,53,0.19309651307976683,2293.0
ALNY201707,11,New York,ALNY,Allentown,201707,2902,2157674.56,393647.29,53,0.18244052986378073,2035.0
ALNY201708,11,New York,ALNY,Allentown,201708,3107,3137414.83,587305.16,48,0.18719397715092717,2384.0
ALNY201709,11,New York,ALNY,Allentown,201709,3030,2219469.64,491785.05,65,0.22157773241719134,2227.0
ALNY201710,11,New York,ALNY,Allentown,201710,3491,2054230.15,397938.3,62,0.1937165122418245,2515.0
ALNY201711,11,New York,ALNY,Allentown,201711,2492,2367536.16,427886.2,47,0.18073058702512065,2361.0
ALNY201712,11,New York,ALNY,Allentown,201712,2093,2333681.75,385755.37,49,0.16529904731011416,2052.0
ALNY201801,11,New York,ALNY,Allentown,201801,2297,2377962.94,539050.89,38,0.2266859928439423,2214.0
ALNY201802,11,New York,ALNY,Allentown,201802,2093,1688316.03,304887.77,38,0.18058690706147001,1920.0
ALNY201803,11,New York,ALNY,Allentown,201803,2340,4210125.72,787339.39,46,0.18701089762231615,2352.0
ALNY201804,11,New York,ALNY,Allentown,201804,2635,3921274.0,599082.57,35,0.1527775335260938,2243.0
ALNY201805,11,New York,ALNY,Allentown,201805,2681,2657066.4,436495.3,53,0.16427715167374063,2457.0
ALNY201806,11,New York,ALNY,Allentown,201806,3025,4032513.6,532192.59,42,0.13197539866945518,2245.0
ALNY201807,11,New York,ALNY,Allentown,201807,2442,2859783.79,420452.96,46,0.14702263907859972,2219.0
ALNY201808,11,New York,ALNY,Allentown,201808,2656,2758567.57,431109.47,60,0.15628019218684572,2460.0
ALNY201809,11,New York,ALNY,Allentown,201809,1985,2713239.7,411729.04,54,0.15174812605019747,1936.0
ALNY201810,11,New York,ALNY,Allentown,201810,2448,2707999.66,438298.74,63,0.16185332165071245,2176.0
ALNY201811,11,New York,ALNY,Allentown,201811,2147,2069547.94,343393.1,41,0.16592662260338845,1895.0
ALNY201812,11,New York,ALNY,Allentown,201812,2215,2728791.52,408520.83,41,0.14970760023470023,1807.0
ALNY201901,11,New York,ALNY,Allentown,201901,2168,1926643.94,335286.46,44,0.1740261669730215,2089.0
ALNY201902,11,New York,ALNY,Allentown,201902,1920,1910139.84,325572.0,41,0.17044406549836685,1714.0
ALNY201903,11,New York,ALNY,Allentown,201903,2229,1659306.48,306511.47,40,0.1847226378577151,1859.0
ALPA201701,11,New York,ALPA,Albany,201701,3125,2677539.25,484803.74,41,0.18106316835504838,2619.0
ALPA201702,11,New York,ALPA,Albany,201702,2281,2525164.78,479283.07,36,0.18980269081687415,2274.0
ALPA201703,11,New York,ALPA,Albany,201703,3134,3052075.04,602983.57,30,0.19756511949981412,2634.0
ALPA201704,11,New York,ALPA,Albany,201704,3042,3137978.04,615368.69,39,0.1961035680160464,2352.0
ALPA201705,11,New York,ALPA,Albany,201705,2541,2823482.56,553498.45,50,0.19603395389840833,2502.0
ALPA201706,11,New York,ALPA,Albany,201706,3281,3169832.13,589201.86,36,0.1858779379588155,2462.0
ALPA201707,11,New York,ALPA,Albany,201707,3855,2724312.9,499415.61,45,0.18331800653295002,2259.0
ALPA201708,11,New York,ALPA,Albany,201708,4136,2611378.99,490558.25,67,0.18785410002858297,2680.0
ALPA201709,11,New York,ALPA,Albany,201709,3350,2123728.68,383781.37,68,0.18071111136475304,2199.0
ALPA201710,11,New York,ALPA,Albany,201710,3543,2538032.22,508579.19,39,0.20038326779003615,2740.0
ALPA201711,11,New York,ALPA,Albany,201711,3131,2427750.37,456038.03,36,0.18784387210288017,2498.0
ALPA201712,11,New York,ALPA,Albany,201712,3309,2272881.07,453725.03,48,0.19962550438241808,2098.0
ALPA201801,11,New York,ALPA,Albany,201801,4853,2170219.78,450922.68,54,0.20777742611856576,2714.0
ALPA201802,11,New York,ALPA,Albany,201802,3402,1971990.95,400878.24,34,0.20328604449224272,2537.0
ALPA201803,11,New York,ALPA,Albany,201803,3208,2262107.0,414537.04,41,0.1832526224444732,2371.0
ALPA201804,11,New York,ALPA,Albany,201804,3177,2128546.55,429097.86,34,0.2015919548482508,2601.0
ALPA201805,11,New York,ALPA,Albany,201805,4290,3498505.6,573273.2,56,0.16386230738061416,2785.0
ALPA201806,11,New York,ALPA,Albany,201806,3628,2805954.31,509628.22,54,0.1816238483227476,2608.0
ALPA201807,11,New York,ALPA,Albany,201807,2744,2720994.48,490057.92,50,0.18010250428732952,2318.0
ALPA201808,11,New York,ALPA,Albany,201808,3152,2409112.97,515003.77,45,0.21377319221356397,2463.0
ALPA201809,11,New York,ALPA,Albany,201809,2435,2248272.85,408404.66,63,0.1816526228122178,2031.0
ALPA201810,11,New York,ALPA,Albany,201810,2918,2830244.13,538699.32,57,0.19033669720922625,2422.0
ALPA201811,11,New York,ALPA,Albany,201811,3541,2640062.7,469414.34,64,0.17780423927052944,2044.0
ALPA201812,11,New York,ALPA,Albany,201812,2458,2516821.85,424504.45,53,0.16866686452201612,1756.0
ALPA201901,11,New York,ALPA,Albany,201901,2606,3911074.35,718739.59,52,0.18377037245533315,2390.0
ALPA201902,11,New York,ALPA,Albany,201902,2429,2862118.21,520083.84,48,0.18171291394704484,2122.0
ALPA201903,11,New York,ALPA,Albany,201903,3111,2806056.77,570198.2,49,0.20320266008018076,2287.0
HAPA201701,11,New York,HAPA,Harrisburg,201701,3217,1721068.19,351565.66,141,0.20427177844708175,3256.0
HAPA201702,11,New York,HAPA,Harrisburg,201702,3271,2022210.76,384449.2,94,0.1901133193456057,3104.0
HAPA201703,11,New York,HAPA,Harrisburg,201703,3524,2331039.26,491474.98,104,0.21083942618795706,3347.0
HAPA201704,11,New York,HAPA,Harrisburg,201704,3165,2153159.8,402976.43,74,0.18715583952477657,2880.0
HAPA201705,11,New York,HAPA,Harrisburg,201705,3809,2230337.45,422771.91,100,0.18955513211689107,3071.0
HAPA201706,11,New York,HAPA,Harrisburg,201706,3468,2479055.4,487030.66,69,0.19645815902298916,3019.0
HAPA201707,11,New York,HAPA,Harrisburg,201707,2807,1818791.63,337732.37,74,0.18569052354831875,2623.0
HAPA201708,11,New York,HAPA,Harrisburg,201708,3620,2400808.29,475812.84,103,0.19818860255601667,3306.0
HAPA201709,11,New York,HAPA,Harrisburg,201709,3460,2320138.06,483665.13,85,0.20846394373617577,3014.0
HAPA201710,11,New York,HAPA,Harrisburg,201710,3553,2206189.48,461374.26,99,0.20912721422277836,3266.0
HAPA201711,11,New York,HAPA,Harrisburg,201711,3002,2932566.11,382167.8,74,0.13031856253702667,2815.0
HAPA201712,11,New York,HAPA,Harrisburg,201712,3120,1842531.09,346664.14,91,0.1881456122403883,2427.0
HAPA201801,11,New York,HAPA,Harrisburg,201801,2876,2210758.42,430662.91,76,0.19480324313318684,3178.0
HAPA201802,11,New York,HAPA,Harrisburg,201802,2650,1452879.27,279440.64,71,0.19233576097482621,2856.0
HAPA201803,11,New York,HAPA,Harrisburg,201803,3172,1976054.36,360349.42,90,0.18235805010951214,3079.0
HAPA201804,11,New York,HAPA,Harrisburg,201804,3720,2486344.04,405194.13,99,0.1629678449487626,3174.0
HAPA201805,11,New York,HAPA,Harrisburg,201805,3737,2408259.27,473003.57,118,0.19640890658753699,3198.0
HAPA201806,11,New York,HAPA,Harrisburg,201806,3975,2459852.18,493528.42,99,0.20063336488780392,3035.0
HAPA201807,11,New York,HAPA,Harrisburg,201807,3593,3106843.52,508805.81,108,0.1637693713006827,3067.0
HAPA201808,11,New York,HAPA,Harrisburg,201808,4183,3681916.79,592142.55,113,0.160824533462637,3499.0
HAPA201809,11,New York,HAPA,Harrisburg,201809,3579,3030280.69,481151.73,69,0.1587812414829466,2948.0
HAPA201810,11,New York,HAPA,Harrisburg,201810,3834,2900837.93,517133.26,106,0.17827030412553932,3429.0
HAPA201811,11,New York,HAPA,Harrisburg,201811,3552,2869905.94,553374.53,74,0.1928197444686985,2708.0
HAPA201812,11,New York,HAPA,Harrisburg,201812,3224,2701778.14,470814.95,77,0.17426114418114286,2409.0
HAPA201901,11,New York,HAPA,Harrisburg,201901,4024,3190279.09,582586.4,78,0.1826129888843048,3421.0
HAPA201902,11,New York,HAPA,Harrisburg,201902,3341,2263454.47,428220.79,86,0.18918904518543284,2996.0
HAPA201903,11,New York,HAPA,Harrisburg,201903,3744,3630186.06,615907.77,75,0.1696628657099741,3323.0
HVNY201701,11,New York,HVNY,Hudson Valley,201701,54,820549.25,158475.72,15,0.1931337089150956,1103.0
HVNY201702,11,New York,HVNY,Hudson Valley,201702,94,1225905.68,153250.33,10,0.12500988656810857,987.0
HVNY201703,11,New York,HVNY,Hudson Valley,201703,231,1391601.15,222863.27,8,0.16014881131709327,1273.0
HVNY201704,11,New York,HVNY,Hudson Valley,201704,95,1066720.98,176303.8,4,0.16527639683246878,1069.0
HVNY201705,11,New York,HVNY,Hudson Valley,201705,108,751772.21,149406.77,16,0.19873941602603268,1270.0
HVNY201706,11,New York,HVNY,Hudson Valley,201706,132,1043873.76,179805.22,12,0.17224805037727933,1231.0
HVNY201707,11,New York,HVNY,Hudson Valley,201707,127,915808.27,163367.51,5,0.1783861484456785,1154.0
HVNY201708,11,New York,HVNY,Hudson Valley,201708,130,1191840.74,227868.19,2,0.19119013333945944,1364.0
HVNY201709,11,New York,HVNY,Hudson Valley,201709,177,1310450.41,205088.68,32,0.15650243491472524,1169.0
HVNY201710,11,New York,HVNY,Hudson Valley,201710,75,1100545.08,187810.1,17,0.17065189187888605,1317.0
HVNY201711,11,New York,HVNY,Hudson Valley,201711,46,1255269.49,235221.67,8,0.18738738722949444,1158.0
HVNY201712,11,New York,HVNY,Hudson Valley,201712,169,650365.93,117195.11,30,0.1801987228943558,1083.0
HVNY201801,11,New York,HVNY,Hudson Valley,201801,80,710465.7,106315.45,14,0.1496419179701427,1043.0
HVNY201802,11,New York,HVNY,Hudson Valley,201802,61,1013487.83,178032.06,17,0.17566275068147588,1055.0
HVNY201803,11,New York,HVNY,Hudson Valley,201803,122,1007355.59,175459.06,19,0.17417787893548098,932.0
HVNY201804,11,New York,HVNY,Hudson Valley,201804,103,600344.39,132486.24,13,0.220683731216344,926.0
HVNY201805,11,New York,HVNY,Hudson Valley,201805,49,1006679.13,137687.16,6,0.1367736311370635,1053.0
HVNY201806,11,New York,HVNY,Hudson Valley,201806,91,1106878.91,169929.84,3,0.15352161692194496,921.0
HVNY201807,11,New York,HVNY,Hudson Valley,201807,48,1388872.91,232682.61,8,0.16753340663833668,1058.0
HVNY201808,11,New York,HVNY,Hudson Valley,201808,118,1814351.25,310780.35,8,0.17129006855756293,1195.0
HVNY201809,11,New York,HVNY,Hudson Valley,201809,63,1481596.73,213807.47,9,0.14430881607034865,1017.0
HVNY201810,11,New York,HVNY,Hudson Valley,201810,196,1317266.5,221933.14,14,0.16848006079255792,1118.0
HVNY201811,11,New York,HVNY,Hudson Valley,201811,55,1298335.55,198166.38,17,0.1526310975617975,1050.0
HVNY201812,11,New York,HVNY,Hudson Valley,201812,121,1764892.84,258964.7,9,0.14673111824738322,893.0
HVNY201901,11,New York,HVNY,Hudson Valley,201901,55,917986.77,194784.9,13,0.21218704491786955,1195.0
HVNY201902,11,New York,HVNY,Hudson Valley,201902,99,1123337.32,266133.12,11,0.23691291588175845,1002.0
HVNY201903,11,New York,HVNY,Hudson Valley,201903,97,1393340.95,241677.52,7,0.1734518173746347,1202.0
NCDE201701,11,New York,NCDE,New Castle,201701,1151,712442.2,132296.02,44,0.1856936885546645,1527.0
NCDE201702,11,New York,NCDE,New Castle,201702,1640,893650.25,155367.68,35,0.17385736757752823,1456.0
NCDE201703,11,New York,NCDE,New Castle,201703,1154,904379.23,201139.43,43,0.22240606963076762,1493.0
NCDE201704,11,New York,NCDE,New Castle,201704,1056,891950.67,177019.39,27,0.1984632064910047,1213.0
NCDE201705,11,New York,NCDE,New Castle,201705,1163,1193154.94,230858.0,34,0.19348534901929837,1459.0
NCDE201706,11,New York,NCDE,New Castle,201706,1370,792923.77,170321.07,41,0.21480131690338908,1415.0
NCDE201707,11,New York,NCDE,New Castle,201707,1120,675705.72,149246.68,37,0.22087526504881444,1280.0
NCDE201708,11,New York,NCDE,New Castle,201708,1271,1026035.1,210580.66,44,0.20523728671660454,1551.0
NCDE201709,11,New York,NCDE,New Castle,201709,1412,959610.84,188455.98,47,0.19638792325438928,1491.0
NCDE201710,11,New York,NCDE,New Castle,201710,1282,846989.55,186730.77,29,0.2204640777445247,1415.0
NCDE201711,11,New York,NCDE,New Castle,201711,1111,831088.64,157097.72,24,0.18902643164512511,1344.0
NCDE201712,11,New York,NCDE,New Castle,201712,1176,777527.65,156020.79,32,0.20066269025931105,1186.0
NCDE201801,11,New York,NCDE,New Castle,201801,1116,691984.97,135439.7,19,0.19572636093526716,1275.0
NCDE201802,11,New York,NCDE,New Castle,201802,1063,834945.65,165546.34,27,0.1982719953089162,1280.0
NCDE201803,11,New York,NCDE,New Castle,201803,1263,927518.08,156009.54,35,0.16820107700757705,1451.0
NCDE201804,11,New York,NCDE,New Castle,201804,1386,1014040.01,165530.93,30,0.16323905207645603,1489.0
NCDE201805,11,New York,NCDE,New Castle,201805,1243,1239578.99,219079.19,43,0.17673677253919898,1451.0
NCDE201806,11,New York,NCDE,New Castle,201806,1477,1293767.73,248036.38,38,0.19171631371575484,1474.0
NCDE201807,11,New York,NCDE,New Castle,201807,1514,1119522.17,229878.96,33,0.2053366750209154,1506.0
NCDE201808,11,New York,NCDE,New Castle,201808,1408,1127086.16,237059.54,36,0.21032956344703943,1614.0
NCDE201809,11,New York,NCDE,New Castle,201809,1084,689851.2,156660.91,20,0.227093770366711,1345.0
NCDE201810,11,New York,NCDE,New Castle,201810,1608,1475853.1,307508.7,59,0.20835996482305724,1709.0
NCDE201811,11,New York,NCDE,New Castle,201811,1058,1131610.06,208534.43,21,0.1842811736756741,1330.0
NCDE201812,11,New York,NCDE,New Castle,201812,1045,1120039.28,181630.52,30,0.1621644198049911,1200.0
NCDE201901,11,New York,NCDE,New Castle,201901,1899,2003446.93,316320.81,38,0.1578882900581749,1760.0
NCDE201902,11,New York,NCDE,New Castle,201902,1442,1026037.74,205909.89,29,0.2006845186805702,1477.0
NCDE201903,11,New York,NCDE,New Castle,201903,1819,1270530.34,239270.38,42,0.1883232320134913,1576.0
NJSC201701,11,New York,NJSC,New Jersey Service Center,201701,38176,-2318.01,-5152.28,420,2.222716899409407,-408.0
NJSC201702,11,New York,NJSC,New Jersey Service Center,201702,36534,294.26,-2523.27,308,-8.574967715625638,-300.0
NJSC201703,11,New York,NJSC,New Jersey Service Center,201703,42311,96.69,-289.85,326,-2.9977246871444825,-319.0
NJSC201704,11,New York,NJSC,New Jersey Service Center,201704,40398,5537.55,103.04,321,0.01860750692996,-317.0
NJSC201705,11,New York,NJSC,New Jersey Service Center,201705,46950,3249.43,339.23,377,0.10439677112601288,-372.0
NJSC201706,11,New York,NJSC,New Jersey Service Center,201706,45398,1305.96,-4994.3,359,-3.824236576924255,-355.0
NJSC201707,11,New York,NJSC,New Jersey Service Center,201707,43129,8709.26,-4845.57,329,-0.5563698867642026,-314.0
NJSC201708,11,New York,NJSC,New Jersey Service Center,201708,49927,14055.37,798.97,440,0.05684446585184168,-430.0
NJSC201709,11,New York,NJSC,New Jersey Service Center,201709,43259,1044.25,-20036.38,435,-19.187340196313144,-428.0
NJSC201710,11,New York,NJSC,New Jersey Service Center,201710,45969,27496.37,-515.54,438,-0.018749384009598358,-422.0
NJSC201711,11,New York,NJSC,New Jersey Service Center,201711,40742,14467.27,-4479.04,304,-0.309598148095667,-271.0
NJSC201712,11,New York,NJSC,New Jersey Service Center,201712,38040,4676.22,-5082.02,291,-1.0867794928382326,-256.0
NJSC201801,11,New York,NJSC,New Jersey Service Center,201801,39774,2301.6,-2468.58,356,-1.0725495307612096,-340.0
NJSC201802,11,New York,NJSC,New Jersey Service Center,201802,39160,-1041.39,638.39,315,-0.6130172173729341,-306.0
NJSC201803,11,New York,NJSC,New Jersey Service Center,201803,43036,2831.75,-3068.28,290,-1.0835278538006534,-278.0
NJSC201804,11,New York,NJSC,New Jersey Service Center,201804,43709,679.96,-18921.58,343,-27.827489852344257,-335.0
NJSC201805,11,New York,NJSC,New Jersey Service Center,201805,46746,3893.91,-18374.7,347,-4.718830173270569,-336.0
NJSC201806,11,New York,NJSC,New Jersey Service Center,201806,45833,1123.19,93209.18,335,82.98611989066853,-321.0
NJSC201807,11,New York,NJSC,New Jersey Service Center,201807,47247,-1182.54,1217.17,312,-1.0292844216686117,-305.0
NJSC201808,11,New York,NJSC,New Jersey Service Center,201808,51082,16163.15,-54269.37,461,-3.357598611656763,-447.0
NJSC201809,11,New York,NJSC,New Jersey Service Center,201809,44025,476.94,-5275.05,469,-11.060196251100768,-448.0
NJSC201810,11,New York,NJSC,New Jersey Service Center,201810,51833,27281.39,4210.41,417,0.15433267879679152,-403.0
NJSC201811,11,New York,NJSC,New Jersey Service Center,201811,40300,7646.0,50281.39,326,6.576169238817682,-309.0
NJSC201812,11,New York,NJSC,New Jersey Service Center,201812,36093,5694.24,-2566.39,291,-0.45069930315546936,-277.0
NJSC201901,11,New York,NJSC,New Jersey Service Center,201901,40672,17034.9,4180.13,338,0.24538623649096852,-330.0
NJSC201902,11,New York,NJSC,New Jersey Service Center,201902,37205,798.95,2134.16,292,2.671205957819638,-284.0
NJSC201903,11,New York,NJSC,New Jersey Service Center,201903,43482,5925.05,-617.23,315,-0.10417296056573362,-281.0
PHPA201701,11,New York,PHPA,Philadelphia,201701,4691,4261166.04,707025.78,126,0.16592307677360538,5272.0
PHPA201702,11,New York,PHPA,Philadelphia,201702,4434,5071423.04,950009.22,130,0.18732596600736348,4950.0
PHPA201703,11,New York,PHPA,Philadelphia,201703,5514,7877164.46,1254890.84,135,0.15930743180141754,5668.0
PHPA201704,11,New York,PHPA,Philadelphia,201704,4984,5288989.46,933427.78,132,0.17648508983793665,4708.0
PHPA201705,11,New York,PHPA,Philadelphia,201705,5131,6371143.48,1073292.31,133,0.16846148785837733,5178.0
PHPA201706,11,New York,PHPA,Philadelphia,201706,5932,8864327.38,1434640.13,143,0.16184421767148222,5445.0
PHPA201707,11,New York,PHPA,Philadelphia,201707,4587,6576253.72,1157908.56,137,0.17607419197932042,4819.0
PHPA201708,11,New York,PHPA,Philadelphia,201708,5469,7541173.69,1156393.68,164,0.15334399226654066,5924.0
PHPA201709,11,New York,PHPA,Philadelphia,201709,4788,5267648.57,932992.55,158,0.1771174628682566,5171.0
PHPA201710,11,New York,PHPA,Philadelphia,201710,5440,6379487.92,1009339.76,154,0.15821642311378498,5590.0
PHPA201711,11,New York,PHPA,Philadelphia,201711,4848,5544172.74,1088787.99,138,0.1963842111456289,4997.0
PHPA201712,11,New York,PHPA,Philadelphia,201712,4510,4735439.65,810542.43,99,0.17116519054360665,4613.0
PHPA201801,11,New York,PHPA,Philadelphia,201801,4514,4681446.29,802860.1,109,0.17149830421316228,5476.0
PHPA201802,11,New York,PHPA,Philadelphia,201802,4308,5379281.87,1131413.77,106,0.21032803213191725,5134.0
PHPA201803,11,New York,PHPA,Philadelphia,201803,4467,6223281.36,969372.02,113,0.1557654176188492,5651.0
PHPA201804,11,New York,PHPA,Philadelphia,201804,5372,6534106.13,1015828.07,126,0.1554654989970296,5897.0
PHPA201805,11,New York,PHPA,Philadelphia,201805,5443,7981997.4,1360039.67,119,0.17038838799922434,6199.0
PHPA201806,11,New York,PHPA,Philadelphia,201806,6495,8118688.25,1360681.53,162,0.16759869182068915,6113.0
PHPA201807,11,New York,PHPA,Philadelphia,201807,6351,9496243.12,1494050.56,132,0.15733069816350703,5724.0
PHPA201808,11,New York,PHPA,Philadelphia,201808,6809,9134790.19,1627127.98,157,0.17812428596129584,6623.0
PHPA201809,11,New York,PHPA,Philadelphia,201809,6042,8068045.34,1387923.15,131,0.17202718769054412,5579.0
PHPA201810,11,New York,PHPA,Philadelphia,201810,7331,10069677.41,1525849.94,179,0.1515291779342115,6396.0
PHPA201811,11,New York,PHPA,Philadelphia,201811,5654,7768736.0,1160585.05,141,0.1493917478982424,5335.0
PHPA201812,11,New York,PHPA,Philadelphia,201812,4331,6604765.75,1152724.96,97,0.17452927229099685,4594.0
PHPA201901,11,New York,PHPA,Philadelphia,201901,5140,6059918.0,947846.08,156,0.15641236069530973,5899.0
PHPA201902,11,New York,PHPA,Philadelphia,201902,5260,5355614.06,877917.92,152,0.16392479184730502,5262.0
PHPA201903,11,New York,PHPA,Philadelphia,201903,5056,6998337.36,1049805.68,130,0.15000786986925133,5559.0
TENJ201701,11,New York,TENJ,Teterboro,201701,399,3476054.42,666523.48,53,0.19174713611071717,3022.0
TENJ201702,11,New York,TENJ,Teterboro,201702,241,4655352.88,941675.05,43,0.20227790981121072,2785.0
TENJ201703,11,New York,TENJ,Teterboro,201703,255,4450547.21,864108.25,25,0.19415775391808504,3145.0
TENJ201704,11,New York,TENJ,Teterboro,201704,276,3469252.06,629237.89,38,0.18137566228035906,2651.0
TENJ201705,11,New York,TENJ,Teterboro,201705,195,3439256.87,640101.14,39,0.18611611874166292,3018.0
TENJ201706,11,New York,TENJ,Teterboro,201706,264,3122394.64,603890.74,50,0.19340628255754372,3017.0
TENJ201707,11,New York,TENJ,Teterboro,201707,236,3413569.59,718542.96,33,0.2104960631548162,2563.0
TENJ201708,11,New York,TENJ,Teterboro,201708,413,3633476.06,627353.29,39,0.17265926061998052,3163.0
TENJ201709,11,New York,TENJ,Teterboro,201709,408,2776878.58,503268.37,37,0.18123528109032408,2808.0
TENJ201710,11,New York,TENJ,Teterboro,201710,424,2740934.45,510478.69,36,0.18624257504589356,2872.0
TENJ201711,11,New York,TENJ,Teterboro,201711,188,2776582.54,519265.61,29,0.18701608993046537,2577.0
TENJ201712,11,New York,TENJ,Teterboro,201712,492,2501129.22,374883.31,34,0.14988562246296094,2283.0
TENJ201801,11,New York,TENJ,Teterboro,201801,767,2307002.43,401157.74,36,0.1738870036647512,2526.0
TENJ201802,11,New York,TENJ,Teterboro,201802,234,2284692.69,406222.45,37,0.17780179005168525,2525.0
TENJ201803,11,New York,TENJ,Teterboro,201803,242,2834647.31,495403.42,40,0.17476721645487528,2739.0
TENJ201804,11,New York,TENJ,Teterboro,201804,273,2403555.17,416381.2,17,0.17323554923850573,2693.0
TENJ201805,11,New York,TENJ,Teterboro,201805,319,2557869.03,431160.21,51,0.1685622699767392,2806.0
TENJ201806,11,New York,TENJ,Teterboro,201806,348,3224302.05,555865.13,42,0.1723985908826377,2772.0
TENJ201807,11,New York,TENJ,Teterboro,201807,254,3088498.6,556614.41,37,0.18022168117544235,2645.0
TENJ201808,11,New York,TENJ,Teterboro,201808,461,3219257.64,497047.65,45,0.1543982202058236,3153.0
TENJ201809,11,New York,TENJ,Teterboro,201809,323,4217530.0,668617.7,40,0.15853300391461353,2610.0
TENJ201810,11,New York,TENJ,Teterboro,201810,428,4946073.61,785674.72,44,0.15884816562606716,3065.0
TENJ201811,11,New York,TENJ,Teterboro,201811,236,3093712.66,556293.93,38,0.17981434966232449,2510.0
TENJ201812,11,New York,TENJ,Teterboro,201812,287,3539211.0,624670.11,25,0.17649982157040087,2138.0
TENJ201901,11,New York,TENJ,Teterboro,201901,393,3081851.42,569988.74,74,0.18495010379183044,2852.0
TENJ201902,11,New York,TENJ,Teterboro,201902,402,3022793.48,523985.42,40,0.17334476320228134,2579.0
TENJ201903,11,New York,TENJ,Teterboro,201903,291,3351241.31,511898.02,31,0.15274877952611535,2662.0
WIPA201701,11,New York,WIPA,Williamsport,201701,742,235685.19,44421.44,20,0.18847785896093006,567.0
WIPA201702,11,New York,WIPA,Williamsport,201702,1255,427783.71,71382.59,41,0.1668660781870352,538.0
WIPA201703,11,New York,WIPA,Williamsport,201703,1564,426802.38,74228.54,11,0.17391782117053797,620.0
WIPA201704,11,New York,WIPA,Williamsport,201704,1278,352230.9,55780.23,7,0.15836268197934933,538.0
WIPA201705,11,New York,WIPA,Williamsport,201705,1106,509519.43,73441.16,11,0.14413809498884078,609.0
WIPA201706,11,New York,WIPA,Williamsport,201706,1944,550335.67,91302.54,7,0.16590336584942783,519.0
WIPA201707,11,New York,WIPA,Williamsport,201707,1023,373735.01,66153.15,7,0.17700549381231367,472.0
WIPA201708,11,New York,WIPA,Williamsport,201708,1797,319103.42,66226.32,8,0.20753873462089503,570.0
WIPA201709,11,New York,WIPA,Williamsport,201709,1662,274350.12,52726.28,9,0.19218610146771578,477.0
WIPA201710,11,New York,WIPA,Williamsport,201710,1622,316826.4,60770.63,13,0.1918104993775771,492.0
WIPA201711,11,New York,WIPA,Williamsport,201711,1280,450581.45,53226.24,13,0.1181278989625516,412.0
WIPA201712,11,New York,WIPA,Williamsport,201712,1116,411623.93,79475.84,3,0.19307876488133233,444.0
WIPA201801,11,New York,WIPA,Williamsport,201801,783,209978.74,44305.76,15,0.21100117088044248,526.0
WIPA201802,11,New York,WIPA,Williamsport,201802,782,263407.11,45334.06,5,0.17210644010330625,451.0
WIPA201803,11,New York,WIPA,Williamsport,201803,702,229813.31,43562.65,9,0.18955668842679305,468.0
WIPA201804,11,New York,WIPA,Williamsport,201804,778,290440.64,44696.97,8,0.15389364931849758,442.0
WIPA201805,11,New York,WIPA,Williamsport,201805,803,490861.78,69862.5,8,0.14232621655733718,512.0
WIPA201806,11,New York,WIPA,Williamsport,201806,926,284276.1,54988.24,9,0.19343251156182317,446.0
WIPA201807,11,New York,WIPA,Williamsport,201807,1057,305702.84,56395.16,11,0.18447705621576824,439.0
WIPA201808,11,New York,WIPA,Williamsport,201808,2235,520060.32,81776.83,12,0.15724489420765653,596.0
WIPA201809,11,New York,WIPA,Williamsport,201809,996,340841.84,59641.43,9,0.17498271338988194,438.0
WIPA201810,11,New York,WIPA,Williamsport,201810,1233,366721.29,61869.33,17,0.16870940326371564,554.0
WIPA201811,11,New York,WIPA,Williamsport,201811,1018,392406.27,73871.03,6,0.18825140077399882,443.0
WIPA201812,11,New York,WIPA,Williamsport,201812,607,332209.42,76091.31,6,0.22904621428254504,358.0
WIPA201901,11,New York,WIPA,Williamsport,201901,1039,466409.44,57047.06,10,0.12231111788817996,490.0
WIPA201902,11,New York,WIPA,Williamsport,201902,842,367261.5,73677.86,7,0.20061416728951986,389.0
WIPA201903,11,New York,WIPA,Williamsport,201903,750,389567.8,75088.94,12,0.1927493494072149,509.0
BOMA201701,12,Boston,BOMA,Boston,201701,132,3273396.96,475336.36,17,0.1452119513179972,3794.0
BOMA201702,12,Boston,BOMA,Boston,201702,157,5183824.76,640722.11,12,0.1236002642188082,3261.0
BOMA201703,12,Boston,BOMA,Boston,201703,181,4420377.2,638534.75,18,0.14445254807666638,4155.0
BOMA201704,12,Boston,BOMA,Boston,201704,311,3898030.29,604088.78,23,0.15497282859749148,3899.0
BOMA201705,12,Boston,BOMA,Boston,201705,226,3901894.3,514225.99,14,0.13178880576032007,4254.0
BOMA201706,12,Boston,BOMA,Boston,201706,177,4219013.03,528863.89,16,0.12535251402150802,4242.0
